"";"Lineage_Name";"parasiteGenus";"order";"family";"genus";"species";"continent";"country";"region";"site";"strategy_3";"distance_4";"Body_mass";"Territoriality";"Range_Size";"LocID";"ParasiteID";"Latitude";"Longitude"
"68";"ACTLIN01";"Haemoproteus";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 26";"11.05";"122.45"
"69";"ACTLIN02";"Haemoproteus";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 27";"11.05";"122.45"
"70";"ACTLIN03";"Haemoproteus";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 28";"11.05";"122.45"
"71";"ACTLIN04";"Leucocytozoon";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 29";"11.05";"122.45"
"72";"ACTLIN05";"Leucocytozoon";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 30";"11.05";"122.45"
"73";"ACTLIN06";"Leucocytozoon";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 31";"11.05";"122.45"
"74";"ACTLIN07";"Leucocytozoon";"Coraciiformes";"Alcedinidae";"Actenoides";"Actenoides_lindsayi";"Asia";"Philippines";"";"Panay";"resident";"resident";"1.9677351320000001";"strong";30;"Loc 95";"Parasite 32";"11.05";"122.45"
"75";"ADEMEL02";"Haemoproteus";"Trochiliformes";"Trochilidae";"Adelomyia";"Adelomyia_melanogenys";"South America";"Peru";"";"Community_18";"resident";"resident";"0.69284691899999995";"none";125;"Loc 35";"Parasite 33";"-7.40";"-78.77"
"76";"AEGCAU01";"Haemoproteus";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.93449845099999995";"weak";1940;"Loc 136";"Parasite 34";"39.95";"115.43"
"77";"AEGCAU01";"Haemoproteus";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_godlewskii";"Asia";"China";"";"Xiaolongmen Forest Park";"partial_mig";"short";"1.278753601";"weak";622;"Loc 136";"Parasite 34";"39.95";"115.43"
"78";"AEGCAU02";"Haemoproteus";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.93449845099999995";"weak";1940;"Loc 136";"Parasite 35";"39.95";"115.43"
"79";"AEGCAU02";"Haemoproteus";"Passeriformes";"Sylviidae";"Phylloscopus";"Phylloscopus_proregulus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.77815124999999996";"weak";533;"Loc 136";"Parasite 35";"39.95";"115.43"
