"";"Lineage_Name";"parasiteGenus";"order";"family";"genus";"species";"continent";"country";"region";"site";"strategy_3";"distance_4";"Body_mass";"Territoriality";"Range_Size";"LocID";"ParasiteID";"Latitude";"Longitude"
"135";"AFR031";"Plasmodium";"Passeriformes";"Estrildidae";"Lagonosticta";"Lagonosticta_rubricata";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.006893708";"weak";534;"Loc 43";"Parasite 53";"-11.13";"33.65"
"136";"AFR033";"Plasmodium";"Coliiformes";"Coliidae";"Colius";"Colius_striatus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.7084208999999999";"weak";776;"Loc 43";"Parasite 54";"-11.13";"33.65"
"137";"AFR034";"Haemoproteus";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_natalensis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2159018130000001";"strong";887;"Loc 43";"Parasite 55";"-11.13";"33.65"
"138";"AFR035";"Haemoproteus";"Coraciiformes";"Meropidae";"Merops";"Merops_pusillus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.178976947";"none";1280;"Loc 43";"Parasite 56";"-11.13";"33.65"
"139";"AFR035";"Haemoproteus";"Passeriformes";"Estrildidae";"Cryptospiza";"Cryptospiza_reichenovii";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.093421685";"weak";95;"Loc 42";"Parasite 56";"-10.58";"33.80"
"140";"AFR037";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_natalensis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2159018130000001";"strong";887;"Loc 43";"Parasite 57";"-11.13";"33.65"
"141";"AFR040";"Plasmodium";"Passeriformes";"Estrildidae";"Amandava";"Amandava_subflava";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"0.87157293599999996";"weak";651;"Loc 43";"Parasite 58";"-11.13";"33.65"
"142";"AFR041";"Haemoproteus";"Passeriformes";"Sturnidae";"Lamprotornis";"Lamprotornis_chalybaeus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.935356093";"weak";667;"Loc 43";"Parasite 59";"-11.13";"33.65"
"143";"AFR041";"Haemoproteus";"Passeriformes";"Muscicapidae";"Pogonocichla";"Pogonocichla_stellata";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.2695129439999999";"strong";180;"Loc 42";"Parasite 59";"-10.58";"33.80"
"144";"AFR044";"Haemoproteus";"Columbiformes";"Columbidae";"Turtur";"Turtur_chalcospilos";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.7824726239999999";"none";614;"Loc 43";"Parasite 60";"-11.13";"33.65"
"145";"AFR047";"Plasmodium";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_flaviventris";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2610248340000001";"weak";785;"Loc 43";"Parasite 61";"-11.13";"33.65"
"146";"AFR048";"Haemoproteus";"Falconiformes";"Accipitridae";"Milvus";"Milvus_migrans";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"partial_mig";"long";"2.8657552239999999";"none";5882;"Loc 43";"Parasite 62";"-11.13";"33.65"
"147";"AFR049";"Plasmodium";"Passeriformes";"Ploceidae";"Ploceus";"Ploceus_ocularis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.4014005410000001";"none";430;"Loc 43";"Parasite 63";"-11.13";"33.65"
"148";"AFR050";"Haemoproteus";"Galliformes";"Numididae";"Numida";"Numida_meleagris";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"3.1136091509999999";"weak";1422;"Loc 43";"Parasite 64";"-11.13";"33.65"
